4000 3.398 Battery Metter V0.1
t v1 a1 v2 a2 v3 a3 v4 a4
1000 3.403 0.11 3.346 -0.75 3.252 -0.09 3.375 -0.00
2000 3.398 0.07 3.346 -0.77 3.252 -0.11 3.370 -0.03
3000 3.403 0.08 3.346 -0.74 3.252 -0.15 3.370 -0.08
4000 3.403 0.03 3.346 -0.78 3.252 -0.06 3.370 0.00
5000 3.398 0.06 3.346 -0.76 3.257 -0.06 3.370 0.03
6000 3.403 0.11 3.342 -0.73 3.257 -0.07 3.370 -0.03
7000 3.403 0.10 3.346 -0.75 3.252 -0.08 3.375 -0.03
8000 3.403 0.10 3.346 -0.73 3.252 -0.04 3.370 -0.00
9000 3.403 0.06 3.346 -0.76 3.252 -0.18 3.370 -0.06
10000 3.403 0.13 3.346 -0.76 3.252 -0.08 3.370 -0.00
11000 3.403 0.16 3.342 -0.85 3.252 -0.17 3.370 0.04
12000 3.403 0.09 3.346 -0.77 3.252 -0.14 3.370 -0.02
13000 3.403 0.07 3.346 -0.80 3.252 -0.09 3.370 0.02
14000 3.403 0.11 3.342 -0.77 3.257 -0.06 3.370 0.06
15000 3.403 0.16 3.342 -0.87 3.252 -0.07 3.370 -0.01
16000 3.398 0.15 3.342 -0.76 3.252 -0.12 3.370 -0.02
17000 3.398 0.04 3.346 -0.83 3.252 -0.02 3.370 -0.01
18000 3.403 0.04 3.346 -0.75 3.252 -0.07 3.370 0.02
19000 3.403 0.06 3.346 -0.80 3.252 -0.14 3.370 0.06
20000 3.403 0.09 3.346 -0.77 3.252 -0.09 3.370 0.00
21000 3.403 0.04 3.346 -0.76 3.252 -0.08 3.375 -0.04
22000 3.398 0.05 3.346 -0.83 3.252 -0.12 3.370 -0.04
23000 3.403 0.06 3.346 -0.76 3.252 -0.09 3.370 0.05
24000 3.403 0.08 3.346 -0.72 3.252 -0.12 3.370 0.04
25000 3.403 0.12 3.342 -0.76 3.252 -0.08 3.370 -0.03
26000 3.403 0.08 3.346 -0.84 3.257 -0.07 3.370 0.02
27000 3.403 -0.00 3.346 -0.81 3.252 -0.14 3.370 -0.01
28000 3.403 0.04 3.346 -0.71 3.252 -0.12 3.370 0.01
29000 3.403 0.05 3.346 -0.76 3.257 -0.14 3.370 -0.02
30000 3.403 0.06 3.342 -0.78 3.257 -0.15 3.370 0.02
31000 3.403 0.08 3.346 -0.84 3.252 -0.08 3.370 0.05
32000 3.403 0.04 3.346 -0.78 3.252 -0.09 3.370 0.02
33000 3.398 0.10 3.346 -0.76 3.257 -0.07 3.370 0.02
34000 3.403 0.13 3.342 -0.75 3.252 -0.11 3.370 0.04
35000 3.403 0.04 3.346 -0.68 3.257 -0.10 3.370 -0.04
36000 3.403 0.16 3.342 -0.74 3.252 -0.14 3.370 -0.08
37000 3.403 0.07 3.346 -0.72 3.252 -0.11 3.370 -0.02
38000 3.403 0.08 3.346 -0.77 3.257 -0.11 3.370 0.02
39000 3.403 0.16 3.342 -0.78 3.257 -0.08 3.375 -0.01
40000 3.398 -0.01 3.346 -0.81 3.252 -0.12 3.370 -0.02
41000 3.403 0.12 3.342 -0.77 3.252 -0.09 3.370 0.00
42000 3.403 0.14 3.342 -0.75 3.252 -0.13 3.370 -0.05
43000 3.403 0.09 3.346 -0.79 3.252 -0.15 3.370 -0.04
44000 3.403 0.09 3.346 -0.77 3.252 -0.05 3.370 0.01
45000 3.403 0.09 3.346 -0.75 3.252 -0.12 3.370 -0.00
46000 3.403 0.11 3.346 -0.79 3.252 -0.13 3.370 -0.06
47000 3.403 0.10 3.346 -0.75 3.252 -0.08 3.370 -0.03
48000 3.403 0.05 3.346 -0.73 3.257 -0.13 3.370 -0.01
49000 3.403 0.06 3.346 -0.81 3.252 -0.16 3.370 -0.02
50000 3.403 0.08 3.346 -0.74 3.257 -0.10 3.370 -0.06
51000 3.403 0.05 3.346 -0.75 3.252 -0.12 3.370 -0.07
52000 3.403 0.08 3.346 -0.76 3.252 -0.08 3.375 0.01
53000 3.403 0.15 3.342 -0.85 3.252 -0.10 3.370 0.03
54000 3.403 0.08 3.346 -0.72 3.252 -0.07 3.370 -0.03
55000 3.398 0.09 3.346 -0.80 3.252 -0.10 3.370 -0.02
56000 3.403 0.06 3.346 -0.76 3.252 -0.15 3.370 -0.00
57000 3.403 0.06 3.346 -0.76 3.252 -0.09 3.370 -0.07
58000 3.403 0.08 3.346 -0.80 3.257 -0.12 3.370 -0.04
59000 3.403 0.05 3.346 -0.77 3.257 -0.09 3.370 -0.01
60000 3.403 0.14 3.346 -0.76 3.252 -0.12 3.370 -0.06
61000 3.403 0.06 3.346 -0.76 3.252 -0.17 3.370 0.02
62000 3.403 0.11 3.342 -0.80 3.257 -0.09 3.370 -0.01
63000 3.403 0.11 3.342 -0.79 3.257 -0.16 3.370 -0.07
64000 3.403 0.07 3.346 -0.79 3.252 -0.19 3.370 -0.09
65000 3.403 0.13 3.342 -0.75 3.252 -0.13 3.370 0.03
66000 3.403 0.08 3.346 -0.78 3.252 -0.14 3.370 -0.01
67000 3.403 0.10 3.346 -0.82 3.252 -0.18 3.370 -0.04
68000 3.403 -0.02 3.342 -0.78 3.257 -0.18 3.370 -0.05
69000 3.403 0.12 3.342 -0.84 3.257 -0.11 3.370 -0.06
70000 3.403 0.12 3.342 -0.77 3.257 -0.14 3.370 -0.07
71000 3.403 0.05 3.346 -0.79 3.252 -0.16 3.370 -0.01
